tweet_id,name,actual_rating,type,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count,display_text_range,stage
666020888022790149,None,0.8,floofer,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1.0,Welsh_springer_spaniel,0.465074,True,collie,0.156665,True,Shetland_sheepdog,0.0614285,True,479.0,2477.0,"[0, 131]",
666029285002620928,a,0.7,floofer,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1.0,redbone,0.506826,True,miniature_pinscher,0.07419169999999999,True,Rhodesian_ridgeback,0.07201,True,45.0,123.0,"[0, 139]",
666033412701032449,a,0.9,floofer,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1.0,German_shepherd,0.596461,True,malinois,0.13858399999999998,True,bloodhound,0.116197,True,43.0,119.0,"[0, 130]",
666044226329800704,a,0.6,floofer,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1.0,Rhodesian_ridgeback,0.408143,True,redbone,0.360687,True,miniature_pinscher,0.222752,True,135.0,280.0,"[0, 137]",
666049248165822465,None,0.5,floofer,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1.0,miniature_pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True,41.0,101.0,"[0, 120]",
666050758794694657,a,1.0,floofer,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1.0,Bernese_mountain_dog,0.651137,True,English_springer,0.263788,True,Greater_Swiss_Mountain_dog,0.0161992,True,56.0,126.0,"[0, 140]",
666051853826850816,an,0.2,floofer,,,,,,,,,,,,801.0,1163.0,"[0, 138]",
666055525042405380,a,1.0,floofer,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1.0,chow,0.692517,True,Tibetan_mastiff,0.0582794,True,fur_coat,0.0544486,False,225.0,417.0,"[0, 140]",
666057090499244032,a,0.9,floofer,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1.0,shopping_cart,0.962465,False,shopping_basket,0.0145938,False,golden_retriever,0.00795896,True,131.0,277.0,"[0, 124]",
666058600524156928,the,0.8,floofer,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1.0,miniature_poodle,0.201493,True,komondor,0.192305,True,soft-coated_wheaten_terrier,0.08208610000000001,True,56.0,106.0,"[0, 135]",
666063827256086533,the,1.0,floofer,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1.0,golden_retriever,0.77593,True,Tibetan_mastiff,0.0937178,True,Labrador_retriever,0.07242660000000001,True,202.0,455.0,"[0, 107]",
666071193221509120,None,0.9,floofer,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1.0,Gordon_setter,0.503672,True,Yorkshire_terrier,0.174201,True,Pekinese,0.109454,True,54.0,137.0,"[0, 137]",
666073100786774016,None,1.0,floofer,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1.0,Walker_hound,0.260857,True,English_foxhound,0.17538199999999998,True,Ibizan_hound,0.0974705,True,150.0,305.0,"[0, 137]",
666082916733198337,None,0.6,floofer,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1.0,pug,0.489814,True,bull_mastiff,0.404722,True,French_bulldog,0.0489595,True,42.0,107.0,"[0, 125]",
666094000022159362,None,0.9,floofer,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1.0,bloodhound,0.195217,True,German_shepherd,0.0782598,True,malinois,0.07562780000000001,True,68.0,157.0,"[0, 132]",
666099513787052032,None,0.8,floofer,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1.0,Lhasa,0.58233,True,Shih-Tzu,0.166192,True,Dandie_Dinmont,0.0896883,True,63.0,145.0,"[0, 140]",
666102155909144576,None,1.1,floofer,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1.0,English_setter,0.298617,True,Newfoundland,0.149842,True,borzoi,0.133649,True,11.0,74.0,"[0, 128]",
666104133288665088,None,0.1,floofer,,,,,,,,,,,,6142.0,13753.0,"[0, 134]",
666268910803644416,None,1.0,floofer,,,,,,,,,,,,32.0,97.0,"[0, 82]",
666273097616637952,None,1.1,floofer,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1.0,Italian_greyhound,0.176053,True,toy_terrier,0.111884,True,basenji,0.111152,True,74.0,164.0,"[0, 46]",
666287406224695296,an,0.5,floofer,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1.0,Maltese_dog,0.8575309999999999,True,toy_poodle,0.0630638,True,miniature_poodle,0.0255806,True,63.0,140.0,"[0, 136]",
666293911632134144,a,0.3,floofer,,,,,,,,,,,,327.0,475.0,"[0, 138]",
666337882303524864,an,0.9,floofer,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1.0,ox,0.416669,False,Newfoundland,0.278407,True,groenendael,0.102643,True,86.0,186.0,"[0, 139]",
666345417576210432,None,1.0,floofer,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1.0,golden_retriever,0.8587440000000001,True,Chesapeake_Bay_retriever,0.0547868,True,Labrador_retriever,0.0142409,True,129.0,280.0,"[0, 112]",
666353288456101888,None,0.8,floofer,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,1.0,malamute,0.33687399999999995,True,Siberian_husky,0.147655,True,Eskimo_dog,0.0934124,True,71.0,209.0,"[0, 135]",
666362758909284353,None,0.6,floofer,,,,,,,,,,,,534.0,744.0,"[0, 140]",
666373753744588802,None,1.1,floofer,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,1.0,soft-coated_wheaten_terrier,0.326467,True,Afghan_hound,0.25955100000000003,True,briard,0.206803,True,86.0,177.0,"[0, 81]",
666396247373291520,None,0.9,floofer,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,1.0,Chihuahua,0.978108,True,toy_terrier,0.00939697,True,papillon,0.00457681,True,80.0,160.0,"[0, 137]",
666407126856765440,a,0.7,floofer,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,1.0,black-and-tan_coonhound,0.529139,True,bloodhound,0.24422,True,flat-coated_retriever,0.17381,True,35.0,101.0,"[0, 139]",
666411507551481857,quite,0.2,floofer,,,,,,,,,,,,314.0,424.0,"[0, 140]",
666418789513326592,Walter,1.0,floofer,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,1.0,toy_terrier,0.14968,True,papillon,0.148258,True,Chihuahua,0.14286,True,44.0,116.0,"[0, 138]",
666421158376562688,None,1.2,floofer,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,1.0,Blenheim_spaniel,0.906777,True,cocker_spaniel,0.0903464,True,Shih-Tzu,0.00111687,True,109.0,307.0,"[0, 52]",
666428276349472768,None,0.7,floofer,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,1.0,Pembroke,0.371361,True,chow,0.249394,True,Pomeranian,0.241878,True,79.0,158.0,"[0, 116]",
666430724426358785,None,0.6,floofer,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,1.0,llama,0.505184,False,Irish_terrier,0.104109,True,dingo,0.0620712,False,181.0,304.0,"[0, 129]",
666435652385423360,None,1.0,floofer,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,1.0,Chesapeake_Bay_retriever,0.18413,True,chain_saw,0.056775300000000015,False,power_drill,0.0367634,False,51.0,158.0,"[0, 125]",
666437273139982337,None,0.7,floofer,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,1.0,Chihuahua,0.6718529999999999,True,beagle,0.12468,True,Saluki,0.044094199999999986,True,44.0,118.0,"[0, 138]",
666447344410484738,Scout,0.9,floofer,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,1.0,curly-coated_retriever,0.32208400000000004,True,giant_schnauzer,0.287955,True,Labrador_retriever,0.166331,True,19.0,98.0,"[0, 119]",
666454714377183233,Kreggory,1.0,floofer,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,1.0,dalmatian,0.278954,True,Labrador_retriever,0.237612,True,Great_Pyrenees,0.171106,True,203.0,502.0,"[0, 96]",
666644823164719104,Jimothy,0.9,floofer,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,1.0,Ibizan_hound,0.0443334,True,Pembroke,0.0432093,True,West_Highland_white_terrier,0.0389056,True,77.0,225.0,"[0, 140]",
666649482315059201,None,0.4,floofer,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,1.0,Border_collie,0.447803,True,English_springer,0.170497,True,collie,0.139206,True,596.0,1087.0,"[0, 138]",
666691418707132416,Christoper,0.8,floofer,https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg,1.0,German_shepherd,0.975401,True,beagle,0.00868727,True,bloodhound,0.00539404,True,46.0,184.0,"[0, 99]",
666701168228331520,a,0.8,floofer,https://pbs.twimg.com/media/CUCZLHlUAAAeAig.jpg,1.0,Labrador_retriever,0.887707,True,Chihuahua,0.029307,True,French_bulldog,0.0207563,True,212.0,420.0,"[0, 139]",
666739327293083650,Lugan,1.0,floofer,https://pbs.twimg.com/media/CUC74aTWoAInZey.jpg,1.0,miniature_poodle,0.546933,True,cocker_spaniel,0.165255,True,toy_poodle,0.0959589,True,64.0,227.0,"[0, 140]",
666776908487630848,Josep,0.5,floofer,https://pbs.twimg.com/media/CUDeDoWUYAAD-EM.jpg,1.0,seat_belt,0.375057,False,miniature_pinscher,0.167175,True,Chihuahua,0.0869506,True,168.0,335.0,"[0, 139]",
666781792255496192,a,1.0,floofer,https://pbs.twimg.com/media/CUDigRXXIAATI_H.jpg,1.0,Italian_greyhound,0.618316,True,Weimaraner,0.151363,True,vizsla,0.08598910000000001,True,183.0,373.0,"[0, 107]",
666786068205871104,None,0.2,floofer,,,,,,,,,,,,471.0,734.0,"[0, 139]",
666804364988780544,Jockson,0.8,floofer,https://pbs.twimg.com/media/CUD3A7YWoAA82N0.jpg,1.0,English_setter,0.32879200000000003,True,Brittany_spaniel,0.283545,True,Ibizan_hound,0.0574615,True,88.0,228.0,"[0, 135]",
666817836334096384,Jeph,0.9,floofer,https://pbs.twimg.com/media/CUEDSMEWEAAuXVZ.jpg,1.0,miniature_schnauzer,0.496953,True,standard_schnauzer,0.28527600000000003,True,giant_schnauzer,0.07376369999999999,True,242.0,499.0,"[0, 137]",
